Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;ICTLAB_IOT;64:12:25:7C:67:A0;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ICTLAB-NG Staff;64:12:25:7C:67:A4;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;XAMK;7C:57:3C:06:41:01;;1;No;OPN,None;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;7C:57:3C:06:41:02;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;eduroam;7C:57:3C:06:41:03;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;7C:57:3C:06:41:04;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;7C:57:3C:06:41:05;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;7C:57:3C:06:41:06;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;ICTLAB GUEST;64:12:25:7C:67:A1;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;ICTLAB-NG Student;64:12:25:7C:67:A3;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;7C:57:3C:06:41:00;;1;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:27 2021;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;AndroidAP;86:BE:D4:5B:D7:28;;11;No;WPA2,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Thu Mar 18 12:32:26 2021;Thu Mar 18 12:32:27 2021;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;ICTLAB_IOT;64:12:25:91:73:30;;11;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:27 2021;Thu Mar 18 12:32:27 2021;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;ICTLAB GUEST;64:12:25:93:29:C1;;11;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:27 2021;Thu Mar 18 12:32:27 2021;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
