
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
7C:57:3C:06:41:10, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, MGT, -73,        3,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:11, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, OPN, ,   , -73,        3,        0,   0.  0.  0.  0,   4, XAMK, 
7C:57:3C:06:41:12, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, PSK, -73,        3,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:13, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, MGT, -73,        3,        0,   0.  0.  0.  0,   7, eduroam, 
7C:57:3C:06:41:14, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, MGT, -73,        3,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:15, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, PSK, -73,        3,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:16, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, MGT, -73,        3,        0,   0.  0.  0.  0,   0, , 
64:12:25:7C:67:AF, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 56, 1300, WPA2, CCMP, PSK, -62,        6,        0,   0.  0.  0.  0,  10, ICTLAB_IOT, 
64:12:25:7C:67:AB, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 56, 1300, WPA2, CCMP, MGT, -61,        6,        0,   0.  0.  0.  0,  15, ICTLAB-NG Staff, 
64:12:25:7C:67:AE, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 56, 1300, WPA2, CCMP, PSK, -61,        5,        0,   0.  0.  0.  0,  12, ICTLAB GUEST, 
64:12:25:7C:67:AC, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 56, 1300, WPA2, CCMP, MGT, -61,        5,        0,   0.  0.  0.  0,  17, ICTLAB-NG Student, 
64:12:25:93:29:CB, 2021-03-18 12:32:28, 2021-03-18 12:32:28, 100, 1300, WPA2, CCMP, MGT, -86,        4,        0,   0.  0.  0.  0,  15, ICTLAB-NG Staff, 
64:12:25:93:29:CE, 2021-03-18 12:32:28, 2021-03-18 12:32:28, 100, 1300, WPA2, CCMP, PSK, -86,        4,        0,   0.  0.  0.  0,  12, ICTLAB GUEST, 
64:12:25:93:29:CC, 2021-03-18 12:32:28, 2021-03-18 12:32:28, 100, 1300, WPA2, CCMP, MGT, -87,        3,        0,   0.  0.  0.  0,  17, ICTLAB-NG Student, 
64:12:25:93:29:CF, 2021-03-18 12:32:28, 2021-03-18 12:32:28, 100, 1300, WPA2, CCMP, PSK, -86,        3,        0,   0.  0.  0.  0,  10, ICTLAB_IOT, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs

