Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;7C:57:3C:06:41:10;;132;No;WPA2,AES-CCM;No;720.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;XAMK;7C:57:3C:06:41:11;;132;No;OPN,None;No;720.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;7C:57:3C:06:41:12;;132;No;WPA2,AES-CCM;No;720.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;eduroam;7C:57:3C:06:41:13;;132;No;WPA2,AES-CCM;No;720.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;7C:57:3C:06:41:14;;132;No;WPA2,AES-CCM;No;720.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;7C:57:3C:06:41:15;;132;No;WPA2,AES-CCM;No;720.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;7C:57:3C:06:41:16;;132;No;WPA2,AES-CCM;No;720.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:24 2021;Thu Mar 18 12:32:24 2021;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;ICTLAB_IOT;64:12:25:7C:67:AF;;56;No;WPA2,AES-CCM;No;1300.0;0;6;0;0;0;0;0;;;Thu Mar 18 12:32:27 2021;Thu Mar 18 12:32:27 2021;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;ICTLAB-NG Staff;64:12:25:7C:67:AB;;56;No;WPA2,AES-CCM;No;1300.0;0;6;0;0;0;0;0;;;Thu Mar 18 12:32:27 2021;Thu Mar 18 12:32:27 2021;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;ICTLAB GUEST;64:12:25:7C:67:AE;;56;No;WPA2,AES-CCM;No;1300.0;0;5;0;0;0;0;0;;;Thu Mar 18 12:32:27 2021;Thu Mar 18 12:32:27 2021;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;ICTLAB-NG Student;64:12:25:7C:67:AC;;56;No;WPA2,AES-CCM;No;1300.0;0;5;0;0;0;0;0;;;Thu Mar 18 12:32:27 2021;Thu Mar 18 12:32:27 2021;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;ICTLAB-NG Staff;64:12:25:93:29:CB;;100;No;WPA2,AES-CCM;No;1300.0;0;4;0;0;0;0;0;;;Thu Mar 18 12:32:28 2021;Thu Mar 18 12:32:28 2021;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;ICTLAB GUEST;64:12:25:93:29:CE;;100;No;WPA2,AES-CCM;No;1300.0;0;4;0;0;0;0;0;;;Thu Mar 18 12:32:28 2021;Thu Mar 18 12:32:28 2021;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;ICTLAB-NG Student;64:12:25:93:29:CC;;100;No;WPA2,AES-CCM;No;1300.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:28 2021;Thu Mar 18 12:32:28 2021;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;ICTLAB_IOT;64:12:25:93:29:CF;;100;No;WPA2,AES-CCM;No;1300.0;0;3;0;0;0;0;0;;;Thu Mar 18 12:32:28 2021;Thu Mar 18 12:32:28 2021;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
